Feature_Combination,Num_Features,LogLik_Original_Copula,LogLik_Refit_Copula,LogLik_Drop_Original,LogLik_Drop_Refit,LogLik_Drop_vs_OriginalCombo
intensity_karvonen+calories,2,0.044105801777402615,0.00034853720101151836,3.0344822037462347,4.20133377258121,1.166851568834975
sd_norm_heart+steps_times_distance+heart_rate+age,4,0.04411852928270884,0.2617435357114907,3.0344694762409286,3.9399387740707303,0.9054692978298018
intensity_karvonen+weight+age+calories,4,0.044294755085752674,0.025697163884429622,3.0342932504378846,4.1759851458977915,1.141691895459907
entropy_heart+norm_heart+steps_times_distance+resting_heart,4,0.044321317653931006,0.40118084894195816,3.034266687869706,3.800501460840263,0.7662347729705568
entropy_heart+intensity_karvonen+age+calories,4,0.044363419341623134,0.0846791317550927,3.034224586182014,4.117003178027129,1.0827785918451145
entropy_heart+norm_heart+height+calories,4,0.044397723250508225,0.06087887634816602,3.034190282273129,4.140803433434055,1.1066131511609258
entropy_heart+heart_rate+height+calories,4,0.04442410121354208,0.08160039382204072,3.034163904310095,4.1200819159601805,1.0859180116500853
norm_heart+resting_heart+steps+calories,4,0.04501903792444198,0.15935971041474675,3.0335689675991953,4.042322599367474,1.008753631768279
sd_norm_heart+steps_times_distance+heart_rate,3,0.045115760132337215,0.2270234006067307,3.0334722453913003,3.9746589091754903,0.9411866637841899
sd_norm_heart+steps_times_distance+heart_rate+weight,4,0.04583437945612135,0.2620483857599943,3.032753626067516,3.939633924022227,0.9068802979547108
norm_heart+entropy_steps+resting_heart+age,4,0.04619022501350663,0.10183348253373134,3.0323977805101308,4.09984882724849,1.067451046738359
entropy_heart+heart_rate+calories,3,0.04638033367444615,0.07481534135405035,3.0322076718491915,4.126866968428171,1.0946592965789796
norm_heart+entropy_steps+resting_heart+weight,4,0.04650359585352584,0.1043269373469787,3.0320844096701114,4.097355372435242,1.0652709627651307
entropy_heart+intensity_karvonen+age+distance,4,0.046840006046513394,0.1466998053192981,3.031747999477124,4.054982504462923,1.023234504985799
intensity_karvonen+height+resting_heart+distance,4,0.047124092155825206,0.04048201356961901,3.031463913367812,4.161200296212602,1.12973638284479
entropy_heart+intensity_karvonen+height+distance,4,0.047157757788802906,0.12734056089245313,3.0314302477348347,4.074341748889768,1.0429115011549337
entropy_steps+height+resting_heart+calories,4,0.047775153702843104,0.1414389535393445,3.0308128518207944,4.060243356242877,1.0294305044220824
entropy_heart+intensity_karvonen+distance,3,0.04897371793179623,0.12414186758214255,3.029614287591841,4.077540442200078,1.0479261546082372
entropy_heart+norm_heart+weight+calories,4,0.04936971378314403,0.06920820732483694,3.0292182917404933,4.132474102457384,1.1032558107168908
heart_rate+weight+calories,3,0.049484229290198065,0.009397022915502814,3.0291037762334394,4.192285286866718,1.1631815106332786
norm_heart+entropy_steps+distance,3,0.0498716951751538,0.0756423339358884,3.0287163103484835,4.126039975846333,1.0973236654978495
entropy_heart+intensity_karvonen+weight+distance,4,0.050221578989716034,0.13091586737408245,3.028366426533921,4.0707664424081385,1.0424000158742173
intensity_karvonen+weight+calories,3,0.05044775962562191,0.013104772776452375,3.0281402458980153,4.188577537005769,1.1604372911077538
norm_heart+entropy_steps+weight+distance,4,0.05051791083966853,0.08563818825024083,3.0280700946839687,4.1160441215319805,1.0879740268480118
intensity_karvonen+resting_heart+age+calories,4,0.0506481704510251,0.03028411132107834,3.0279398350726123,4.171398198461143,1.1434583633885302
intensity_karvonen+resting_heart+age+distance,4,0.051175666100975306,0.05811576473403459,3.027412339422662,4.143566545048187,1.116154205625525
norm_heart+steps_times_distance+entropy_steps+resting_heart,4,0.05189857991460936,0.34656890109690486,3.026689425609028,3.855113408685316,0.8284239830762878
entropy_heart+intensity_karvonen+calories,3,0.05219342816821214,0.06573520898039553,3.0263945773554255,4.135947100801825,1.1095525234463999
norm_heart+entropy_steps+age+distance,4,0.05244101020105481,0.09166238158024012,3.026146995322583,4.110019928201981,1.0838729328793986
entropy_heart+intensity_karvonen+height+calories,4,0.053008226178065276,0.07114689206441323,3.025579779345572,4.130535417717808,1.1049556383722359
entropy_heart+heart_rate+weight+calories,4,0.05329361530954703,0.08434567259933606,3.0252943902140905,4.117336637182885,1.0920422469687945
intensity_karvonen+resting_heart+distance,3,0.05403953499276404,0.037833133623812916,3.024548470530873,4.163849176158408,1.1393007056275346
norm_heart+entropy_steps+height+resting_heart,4,0.0547512595243161,0.09687488932309885,3.023836745999321,4.104807420459123,1.0809706744598016
sd_norm_heart+height+resting_heart+distance,4,0.05523987045735894,0.04629548523689548,3.0233481350662785,4.155386824545325,1.1320386894790468
norm_heart+height+resting_heart+distance,4,0.05527186237725584,0.0465871764568634,3.0233161431463818,4.155095133325358,1.1317789901789763
intensity_karvonen+height+resting_heart+calories,4,0.05553028059586747,0.02119365619553897,3.02305772492777,4.180488653586682,1.1574309286589122
entropy_steps+heart_rate+age+calories,4,0.055640333705331765,0.056535007382358726,3.0229476718183057,4.145147302399862,1.1221996305815565
sd_norm_heart+steps+age+calories,4,0.05591461524359642,0.13803981678274532,3.022673390280041,4.063642492999476,1.0409691027194348
sd_norm_heart+resting_heart+steps+distance,4,0.05602142610305584,0.20996203406439665,3.0225665794205816,3.9917202757178245,0.9691536962972429
steps_times_distance+age+calories,3,0.05611427702243556,0.13586376050014437,3.0224737285012018,4.065818549282077,1.043344820780875
intensity_karvonen+resting_heart+weight+distance,4,0.05623129314362972,0.048767423625489345,3.0223567123800077,4.152914886156732,1.1305581737767243
norm_heart+entropy_steps+age+calories,4,0.05637338397994143,0.060689716543651406,3.022214621543696,4.14099259323857,1.118777971694874
norm_heart+resting_heart+age+calories,4,0.05646128383110664,0.032006667327635005,3.0221267216925307,4.169675642454586,1.1475489207620555
sd_norm_heart+resting_heart+age+distance,4,0.057895999940415624,0.0706553355095276,3.020692005583222,4.131026974272694,1.1103349686894721
intensity_karvonen+entropy_steps+distance,3,0.058219755046525434,0.07390554875814427,3.020368250477112,4.1277767610240765,1.1074085105469647
sd_norm_heart+resting_heart+distance,3,0.05875474470360056,0.04567051322445033,3.019833260820037,4.156011796557771,1.1361785357377343
intensity_karvonen+entropy_steps+weight+distance,4,0.05890421754181126,0.0833734765187185,3.019683787981826,4.1183088332635025,1.0986250452816764
entropy_heart+intensity_karvonen+weight+calories,4,0.05922048356464951,0.07887057581231086,3.019367521958988,4.12281173396991,1.1034442120109222
steps_times_distance+resting_heart+age+calories,4,0.05961746796255865,0.19445804475507877,3.0189705375610787,4.007224265027142,0.9882537274660637
intensity_karvonen+entropy_steps+age+distance,4,0.059838905570809786,0.0943077021582474,3.0187490999528275,4.107374607623973,1.088625507671146
intensity_karvonen+resting_heart+calories,3,0.0598586937748139,0.01695406875778329,3.0187293117488236,4.1847282410244375,1.1659989292756139
entropy_heart+steps_times_distance+age+calories,4,0.05986238078667086,0.29930264021816827,3.0187256247369665,3.902379669564053,0.8836540448270864
norm_heart+resting_heart+age+distance,4,0.0608579189932132,0.06106577820536829,3.0177300865304244,4.140616531576853,1.1228864450464289
norm_heart+resting_heart+distance,3,0.061097787921360835,0.0449855926785884,3.0174902176022766,4.156696717103633,1.139206499501356
sd_norm_heart+resting_heart+weight+distance,4,0.06112795824262102,0.06227414178575301,3.0174600472810162,4.139408167996468,1.1219481207154516
entropy_steps+heart_rate+calories,3,0.06147340927374764,0.05216145038330084,3.0171145962498898,4.14952085939892,1.1324062631490301
norm_heart+entropy_steps+calories,3,0.06174347540102709,0.05067718207645282,3.0168445301226106,4.151005127705768,1.1341605975831577
norm_heart+height+resting_heart+calories,4,0.0626356748359625,0.025982849728451544,3.015952330687675,4.17569946005377,1.159747129366095
norm_heart+entropy_steps+height+distance,4,0.06277600570339345,0.08140000252134794,3.015811999820244,4.120282307260873,1.104470307440629
sd_norm_heart+heart_rate+steps+distance,4,0.06325584628561698,0.2017404477522406,3.0153321592380204,3.9999418620299805,0.98460970279196
norm_heart+resting_heart+weight+distance,4,0.06340412263905361,0.05717296677356605,3.0151838828845836,4.1445093430086555,1.1293254601240719
steps_times_distance+weight+age+calories,4,0.06546351611177788,0.17320319138322948,3.0131244894118594,4.028479118398992,1.0153546289871325
norm_heart+resting_heart+calories,3,0.06603350278169251,0.022669587246255687,3.0125545027419447,4.1790127225359655,1.1664582197940208
intensity_karvonen+entropy_steps+age+calories,4,0.06658848491281638,0.06397113919418775,3.011999520610821,4.137711170588033,1.125711649977212
steps_times_distance+calories,2,0.06675703842891091,0.09903244211698868,3.0118309670947263,4.1026498676652325,1.0908189005705062
intensity_karvonen+resting_heart+weight+calories,4,0.0672305009301599,0.03348875708837426,3.0113575045934775,4.168193552693847,1.1568360481003692
entropy_steps+heart_rate+weight+calories,4,0.06778999948118813,0.06303426322291616,3.0107980060424495,4.138648046559305,1.1278500405168552
norm_heart+entropy_steps+weight+calories,4,0.06815129774685062,0.0655168421143114,3.010436707776787,4.13616546766791,1.125728759891123
sd_norm_heart+age+calories,3,0.06895779998607388,0.019148367390561572,3.0096302055375634,4.182533942391659,1.1729037368540958
sd_norm_heart+steps+calories,3,0.06913586566823635,0.10808673886636495,3.009452139855401,4.0935955709158565,1.0841434310604554
steps_times_distance+height+calories,3,0.06914239594233626,0.10144526752369223,3.0094456095813014,4.100237042258529,1.0907914326772277
intensity_karvonen+entropy_steps+height+distance,4,0.06970365829618569,0.0808060567343521,3.008884347227452,4.120876253047869,1.111991905820417
entropy_heart+steps_times_distance+calories,3,0.06989432060694512,0.2621366573757051,3.0086936849166923,3.939545652406516,0.9308519674898239
sd_norm_heart+heart_rate+height+distance,4,0.07037361141305101,0.07301665665637408,3.0082143941105866,4.128665653125847,1.1204512590152609
entropy_heart+intensity_karvonen+resting_heart+distance,4,0.07074804117742557,0.22614544997598918,3.007839964346212,3.975536859806232,0.96769689546002
intensity_karvonen+entropy_steps+calories,3,0.07077634044502043,0.049604547725080494,3.007811665078617,4.15207776205714,1.1442660969785234
steps_times_distance+resting_heart+calories,3,0.0708568591911953,0.15713874271212802,3.0077311463324423,4.044543567070093,1.0368124207376508
entropy_steps+heart_rate+height+calories,4,0.07128769874279442,0.06141835797633638,3.007300306780843,4.140263951805885,1.132963645025042
steps_times_distance+height+resting_heart+calories,4,0.07189231349010132,0.15961657072828894,3.006695692033536,4.042065739053932,1.035370047020396
norm_heart+resting_heart+weight+calories,4,0.07348763966153565,0.04023892083804672,3.0051003658621016,4.161443388944174,1.1563430230820724
steps_times_distance+weight+calories,3,0.07363809367753124,0.13333265381784132,3.004949911846106,4.06834965596438,1.063399744118274
sd_norm_heart+height+steps+calories,4,0.07422172407473299,0.11188851419881113,3.0043662814489043,4.08979379558341,1.0854275141345058
entropy_heart+steps_times_distance+height+calories,4,0.07423083499858837,0.2659494894552353,3.004357170525049,3.9357328203269857,0.9313756498019368
norm_heart+entropy_steps+height+calories,4,0.07584477710131687,0.05648172632198032,3.0027432284223208,4.145200583460241,1.1424573550379202
sd_norm_heart+heart_rate+age+distance,4,0.07594456183534729,0.0934970056455,3.00264344368829,4.108185304136721,1.1055418604484308
sd_norm_heart+heart_rate+distance,3,0.07683536584635006,0.06873526847255784,3.0017526396772873,4.132947041309663,1.1311944016323756
steps_times_distance+height+steps+age,4,0.07692277131318934,0.26322438478143034,3.001665234210448,3.9384579250007907,0.9367926907903428
intensity_karvonen+entropy_steps+weight+calories,4,0.07713219654280289,0.06413224192249616,3.0014558089808347,4.137550067859725,1.1360942588788903
sd_norm_heart+calories,2,0.07714933097693416,0.00030979687965485535,3.001438674546703,4.201372512902566,1.1999338383558626
entropy_heart+intensity_karvonen+resting_heart+calories,4,0.07717957559489476,0.16433690858746225,3.0014084299287425,4.0373454011947585,1.035936971266016
entropy_heart+norm_heart+resting_heart+distance,4,0.07740181126559423,0.2330906995716107,3.001186194258043,3.9685916102106105,0.9674054159525673
entropy_heart+steps_times_distance+weight+calories,4,0.07745228324486347,0.30483219260680544,3.001135722278774,3.8968501171754157,0.895714394896642
intensity_karvonen+entropy_steps+resting_heart+distance,4,0.07748332622073995,0.16920573673854628,3.0011046793028973,4.032476573043675,1.0313718937407774
sd_norm_heart+heart_rate+weight+distance,4,0.07753123017671334,0.08052210952793923,3.001056775346924,4.121160200254282,1.120103424907358
